entry_id,active_metal,promoter_1,promoter_2,support,metal_loading_wt,promoter_1_loading_wt,promoter_2_loading_wt,BET_surface_area_m2_g,pore_volume_cm3_g,calcination_temp_C,reduction_temp_C,reaction_temp_C,reaction_pressure_atm,WHSV h-1,H2_HC_ratio,specific_activity_s-1,propane_selectivity,deactivation_rate_h-1,reference_paper,reference_doi,notes
42,Pt,Sn,,S-1,0.3,0.5,,246,0.19,550,550,550,,6.5,0,1.53,100,0.002,J. Catal. 385 (2020) 61,https://doi.org/10.1016/j.jcat.2020.02.019,Encapsulated in Hollow-Structured Silicalite-2
43,Pt,Zn,,SiO2,3.05,1.54,,,,,600,550,,32,0,0.45,96,0.014,"Chemical Science 2020, 11 (6), 1549",https://doi.org/10.1039/C9SC05599A,
44,Pt,Zn,,SiO2,3.05,1.54,,,,,600,550,,75,0,0.91,95,0.027,"Chemical Science 2020, 11 (6), 1549",https://doi.org/10.1039/C9SC05599A,
45,Pt,Zn,Na,ZSM-5,0.5,1,1,,,500,500,590,,3,0.25,0.279,97,0.013,"Chem. Eng. J. 2015, 270, 352",10.1016/j.cej.2015.01.008,
46,Pt,Ga,Pb,SiO2,3,0.54,1.59,,,,650,600,,30.7,1.28,0.38,100,0.001,"Nature Comm. 11, 2020, 2838",https://doi.org/10.1038/s41467-020-16693-9,
47,Pt,Ga,,SiO2,4.82,1.48,,,,,500,550,,98.3,0,1.36,99,0.038,"J. Am. Chem. Soc. 2018, 140, 11674",https://doi.org/10.1021/jacs.8b05378,
48,Pt,Ga,,SiO2,4.82,1.48,,,,,500,550,,43.3,0,0.76,91,0.023,"J. Am. Chem. Soc. 2018, 140, 11674",https://doi.org/10.1021/jacs.8b05378,
49,Pt,Ga2O3,,gamma-Al2O3,0.5,3,,146,0.39,600,600,575,,5.4,0,0.48,97,0.143,"Ind. Eng. Chem. Res.?2018, 57, 39, 13087",https://doi.org/10.1021/acs.iecr.8b03085,Ga2O3 rod
50,Pt,Cu,,gamma-Al2O3,0.1,10,,,,,,550,,4,1,0.95,90,0.012,"Nature Comm. 9, 2018, 4454",https://doi.org/10.1038/s41467-018-06967-8,
51,Pt,Cu,,MgAl2O4,1,1,,,,,600,580,,6.8,1,0.24,88,0.011,J. Catal. 366 (2018) 115,https://doi.org/10.1016/j.jcat.2018.08.001,
52,Pt,Cu,,MgAl2O4,1,1,,,,,600,580,,6.8,1,0.28,95,0.034,J. Catal. 366 (2018) 115,https://doi.org/10.1016/j.jcat.2018.08.001,
53,Pt,Au,,MgAl2O4,1,1,,,,,600,580,,6.8,1,0.31,60,0.04,J. Catal. 366 (2018) 115,https://doi.org/10.1016/j.jcat.2018.08.001,
54,Pt,,,TiO2-Al2O3,1,,,293,6.6,600,500,600,,10,1,0.45,90,0.0976,"ACS Catal.?2015, 5, 1, 438",https://doi.org/10.1021/cs501279v,
55,Pt,Zn,,gamma-Al2O3,0.1,15,,174,,500,,600,,3,1,1.21,94,0.045,"ACS Catal.?2016, 6, 4, 2158",https://doi.org/10.1021/acscatal.5b02878,
56,Pt,Sn,,Al2O3,0.36,0.68,,,,,,590,,9.4,1.25,1.58,99,0.007,"Angew. Chem. Int. Ed. 2015, 54: 13994",?https://doi.org/10.1002/anie.201507119,
57,Pt,In,,SiO2,0.3,0.06,,,,,,600,,,,0.08,92,0.018,"Chem. Sci. 9, 3925 (2018)",10.1039/C8SC00802G,
58,Pt,Sn,,SAPO-34,0.5,1,,409,,500,500,595,,5.6,0.25,0.48,66,0.149,Chinese J. Catal. 31 (2010) 552,https://doi.org/10.1016/S1872-2067(09)60071-1,
59,Pt,Sn,,gamma-Al2O3,2,0.6,,,,550,540,540,,3.5,0.33,0.09,96,0.02,J. Ener. Chem. 27 (2018) 311,10.1016/j.jechem.2017.09.035,
60,Pt,Sn,,gamma-Al2O3,2,1.2,,,,550,540,540,,3.5,0.33,0.09,99,0.011,J. Ener. Chem. 27 (2018) 311,10.1016/j.jechem.2017.09.035,
61,Pt,Sn,,gamma-Al2O3,2,2.4,,,,550,540,540,,3.5,0.33,0.09,99,0.006,J. Ener. Chem. 27 (2018) 311,10.1016/j.jechem.2017.09.035,
62,Pt,Sn,,gamma-Al2O3,2,3.6,,,,550,540,540,,3.5,0.33,0.09,99,0.005,J. Ener. Chem. 27 (2018) 311,10.1016/j.jechem.2017.09.035,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
4,Pt,,,Zn-Beta,0.5,,,,,550,555,555,,2.6,0,0.141,90,,App. Catal A:Gen. 306 (2006) 85,10.1016/j.apcata.2006.03.028,
8,Pt,Sn,Na,Al-SBA-15,0.5,,,,,,,590,,3,0.33,0.143,94,,"Catal. Lett. 2011, 141, 120",10.1007/S10562-010-0445-6,
9,Pt,Ga,,Hydrotalcite,0.68,0.57,,161,0.41,700,450,600,,2.6,1.25,0.011,99,,J. Catal. 274 (2010) 200,https://doi.org/10.1016/j.jcat.2010.06.016,
10,Pt,In,,Hydrotalcite,0.71,0.2,,161,0.61,700,450,600,,2.6,1.25,0.018,98,,J. Catal. 282 (2011) 282,https://doi.org/10.1016/j.jcat.2011.06.008,
