active_metal,promoter_1,promoter_2,support,metal_loading_wt,promoter_1_loading_wt,promoter_2_loading_wt,propane_TOF_log,propane_selectivity
Rh,Ga,K,TiO2-rutile,0.3,0.3,2.0,0.3307348908332786,0.5826621056994324
Ru,,,H-ZSM5,0.1,0.0,0.0,-5.992853647509026,0.19125714090440576
Pt,,,HfO2,0.5,0.0,0.0,0.40123056864352247,0.3419662508712522
Ir,,,SiO2-Al2O3,3.0,0.0,0.0,-1.2993974490354736,0.20012393847658538
Ru,,,SiO2,1.0,0.0,0.0,-1.5153852775577143,0.36296654873873396
Ni,Ga,,HfO2,0.5,2.0,0.0,0.31004721980003785,0.40219339930220643
Rh,Sn,,SiO2,2.0,2.0,0.0,-0.12774534922360986,0.6002439616494234
Pt,Sn,Ag,TiO2-rutile,5.0,1.0,2.0,0.69614103214706,0.5362548991191958
Ni,,,gamma-Al2O3,0.5,0.0,0.0,-0.8723079676178118,0.22622119301204915
Ru,In,,Y2O3,5.0,2.0,0.0,-1.4997001915653345,0.3647427139859849
Pt,Re,,alpha-Al2O3,2.0,2.0,0.0,0.08469086307794718,0.5181293081307143
Ni,,,SAPO-34,3.0,0.0,0.0,-0.7176458011406786,0.2828835047156252
Ni,Sn,,MgO,0.3,0.1,0.0,-1.995796800085949,0.6086949500068418
Ru,Ga,K,SiO2,0.3,0.5,0.1,-1.603804228988388,0.46424091948404006
Ru,,,gamma-Al2O3,3.0,0.0,0.0,-0.9879413201148027,0.2151198229029241
Pt,In,,CeO2,5.0,0.5,0.0,-0.15856662536109464,0.3869772711649525
Ir,,,gamma-Al2O3,5.0,0.0,0.0,-0.36890508786296633,0.2366738101734047
Pd,Re,,gamma-Al2O3,0.1,0.3,0.0,-1.0707267267495506,0.3052915545663088
Pt,,,SiO2-Al2O3,0.5,0.0,0.0,-1.4571852888586756,0.2739943529511411
Ni,Sn,Cu,CeO2,3.0,0.5,1.0,-0.19268395430775143,0.4919424569504124
Ru,Sn,,CeO2,1.0,2.0,0.0,-0.42428177990684207,0.5372226328781359
Ni,Sn,,TiO2-anatase,0.1,0.1,0.0,-0.6403185319899922,0.4808147162794859
Ir,Sn,,ZnO,0.5,1.0,0.0,0.674358807646913,0.6242239997117126
Pd,,,WO3,5.0,0.0,0.0,-0.640528774934389,0.24772001992807466
Pt0.5Pd0.5,Cs,,CeO2,1.0,2.0,0.0,0.2947163857726224,0.41848454118084133
Pt0.95Re0.05,Cs,,La2O3,3.0,1.0,0.0,-1.10913658276353,0.5824741649401661
Pt0.9Sn0.1,Cs,,TiO2-rutile,2.0,0.5,0.0,1.1713435909071122,0.41422724035684605
Pt0.95Re0.05,,,Y2O3,2.0,0.0,0.0,-1.170227944363638,0.33010146611366276
Pt0.5Pd0.5,,,Nb2O5,5.0,0.0,0.0,-1.0999718949840804,0.2353854451175585
Pt0.95Re0.05,Ag,,ZrO2,5.0,1.0,0.0,0.058684990563599354,0.31493371403500403
Ru,,,SiO2:0.5+gamma-Al2O3:0.5,1.0,0.0,0.0,-0.6711072932526648,0.3056845128679323
Ir,Re,,MgO:0.3+gamma-Al2O3:0.7,2.0,0.5,0.0,0.2948049927430637,0.3542817777983946
Ir,Re,,CeO2+ZrO2,5.0,2.0,0.0,0.04398717165373092,0.4293838682854148
Pt,Ga,,MgO:0.3+gamma-Al2O3:0.7,5.0,1.0,0.0,0.20748204320762065,0.35861178543304356
Ru,In,,SiO2:0.5+gamma-Al2O3:0.5,0.3,1.0,0.0,-0.4781831601267317,0.369630936150979
Rh,,,CeO2+ZrO2,5.0,0.0,0.0,-0.5234341806295888,0.3287137324266627
